Unique Titles,Total Hours
Oil Rush,1.6
Unepic,1.6
The Legend of Korra,1.5
404Sight,1.5
Dark Souls Prepare to Die Edition,1.5
Gravity Ghost,1.5
Rock of Ages,1.5
Half-Life 2 Lost Coast,3.5
Galcon Legends,1.5
Air Brawl,1.5
Cat Goes Fishing,1.5
One Finger Death Punch,1.5
Mind Path to Thalamus Enhanced Edition,1.4
INK,1.4
Intrusion 2,1.4
Amnesia The Dark Descent,1.4
Fieldrunners,1.4
Out There Somewhere,1.4
KAMI,1.4
Lone Survivor The Director's Cut,1.4
NightSky,1.4
Frozen Synapse,1.4
Hammerfight,1.4
Spintires,1.4
Ziggurat,1.4
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,1.4
Dead Island,1.3
Superbrothers Sword & Sworcery EP,1.3
GRID 2,1.3
Sonic & All-Stars Racing Transformed,1.3
Call of Juarez Gunslinger,1.3
Crysis 2 Maximum Edition,2.8
Strike Vector,1.3
Prison Architect,1.3
Lego Harry Potter,1.3
Outlast,6.4
Super Hexagon,1.2
WRC 4 FIA WORLD RALLY CHAMPIONSHIP,1.2
Valkyria Chronicles,1.2
Shatter,1.2
Proteus,1.2
Jamestown,1.2
Spelunky,1.2
Astebreed,1.2
STAR WARS Knights of the Old Republic II The Sith Lords,1.2
Phantom Breaker Battle Grounds,1.2
Tom Clancy's Splinter Cell Chaos Theory,1.2
The Witcher Enhanced Edition,1.2
Risk of Rain,1.2
Survarium,1.2
Afterlife Empire,1.2
BattleBlock Theater,1.2
Need for Speed Hot Pursuit,1.2
BIT.TRIP RUNNER,1.1
Coin Crypt,1.1
The Crew,1.1
Metro Last Light Redux,1.1
Crimzon Clover  WORLD IGNITION,1.1
Sonic Generations,1.1
Ethan Meteor Hunter,1.1
Reus,1.1
Kill The Bad Guy,1
Freaking Meatbags,1
Saints Row 2,1
Dyad,1
Starseed Pilgrim,1
Camera Obscura,1
The Floor is Jelly,1
Super Meat Boy,6.7
Dustforce,1
Goats on a Bridge,1
System Shock 2,1
Call of Duty Modern Warfare 2 - Multifreeer,94
PixelJunk Shooter,1
And Yet It Moves,1
Arma 2 British Armed Forces,1
Battlefield Bad Company 2,1
Cogs,1
Assassin's Creed IV Black Flag,1
SimCity 4 Deluxe,1
Half-Life Deathmatch Source,1
Arma 2 DayZ Mod,1
Call of Duty Modern Warfare 2,49
Rodina,1
140,1
